item,year,week_of_year,weekly_sales,week_has_holiday,store
1,2016,10,121,0,1
1,2016,11,137,0,1
1,2016,12,153,1,1
1,2016,13,154,0,1
1,2016,14,162,0,1
1,2016,15,157,0,1
1,2016,16,155,0,1
1,2016,17,165,1,1
1,2016,18,160,0,1
1,2016,19,182,0,1
1,2016,20,192,0,1
1,2016,21,182,0,1
1,2016,22,186,1,1
1,2016,23,178,0,1
1,2016,24,176,1,1
1,2016,25,182,0,1
1,2016,26,213,0,1
1,2016,27,201,1,1
1,2016,28,201,0,1
1,2016,29,190,0,1
1,2016,30,202,0,1
1,2016,31,180,0,1
1,2016,32,160,0,1
1,2016,33,171,0,1
1,2016,34,171,0,1
1,2016,35,139,1,1
1,2016,36,181,1,1
1,2016,37,152,0,1
1,2016,38,169,0,1
1,2016,39,164,0,1
1,2016,40,159,0,1
1,2016,41,158,1,1
1,2016,42,163,0,1
1,2016,43,144,0,1
1,2016,44,161,0,1
1,2016,45,164,1,1
1,2016,46,157,0,1
1,2016,47,136,1,1
1,2016,48,135,0,1
1,2016,49,94,0,1
1,2016,50,113,0,1
1,2016,51,121,1,1
1,2016,52,101,1,1
1,2016,53,46,1,1
1,2017,1,113,0,1
1,2017,2,112,0,1
1,2017,3,111,1,1
1,2017,4,104,0,1
1,2017,5,132,0,1
1,2017,6,117,0,1
1,2017,7,116,1,1
1,2017,8,116,1,1
1,2017,9,131,0,1
1,2017,10,112,0,1
1,2017,11,145,0,1
1,2017,12,124,0,1
1,2017,13,128,0,1
1,2017,14,153,0,1
1,2017,15,149,1,1
1,2017,16,147,0,1
1,2017,17,181,0,1
1,2017,18,177,0,1
1,2017,19,174,0,1
1,2017,20,183,0,1
1,2017,21,179,0,1
1,2017,22,177,1,1
1,2017,23,184,0,1
1,2017,24,206,0,1
1,2017,25,184,1,1
1,2017,26,228,0,1
1,2017,27,186,1,1
1,2017,28,204,0,1
1,2017,29,201,0,1
1,2017,30,191,0,1
1,2017,31,174,0,1
1,2017,32,196,0,1
1,2017,33,180,0,1
1,2017,34,182,0,1
1,2017,35,171,1,1
1,2017,36,177,1,1
1,2017,37,160,0,1
1,2017,38,172,0,1
1,2017,39,161,0,1
1,2017,40,125,0,1
1,2017,41,147,1,1
1,2017,42,157,0,1
1,2017,43,164,0,1
1,2017,44,158,0,1
1,2017,45,145,1,1
1,2017,46,167,0,1
1,2017,47,177,1,1
1,2017,48,133,0,1
1,2017,49,126,0,1
1,2017,50,117,0,1
1,2017,51,97,1,1
1,2017,52,146,1,1
2,2013,1,247,1,1
2,2013,2,211,0,1
2,2013,3,212,0,1
2,2013,4,192,1,1
2,2013,5,202,0,1
2,2013,6,217,0,1
2,2013,7,235,1,1
2,2013,8,226,1,1
2,2013,9,240,0,1
2,2013,10,295,0,1
2,2013,11,300,0,1
2,2013,12,292,0,1
2,2013,13,272,1,1
2,2013,14,325,0,1
2,2013,15,321,0,1
2,2013,16,295,0,1
2,2013,17,299,0,1
2,2013,18,339,1,1
2,2013,19,346,0,1
2,2013,20,327,0,1
2,2013,21,355,0,1
2,2013,22,342,1,1
2,2013,23,380,0,1
2,2013,24,372,0,1
2,2013,25,354,1,1
2,2013,26,431,0,1
2,2013,27,384,1,1
2,2013,28,396,0,1
2,2013,29,406,0,1
2,2013,30,409,0,1
2,2013,31,371,0,1
2,2013,32,388,0,1
2,2013,33,330,0,1
2,2013,34,345,0,1
2,2013,35,347,1,1
2,2013,36,317,1,1
2,2013,37,322,0,1
2,2013,38,331,0,1
2,2013,39,319,0,1
2,2013,40,265,0,1
2,2013,41,314,0,1
2,2013,42,308,1,1
2,2013,43,308,0,1
2,2013,44,310,0,1
2,2013,45,324,0,1
2,2013,46,334,1,1
2,2013,47,322,0,1
2,2013,48,336,1,1
2,2013,49,219,0,1
2,2013,50,227,0,1
2,2013,51,220,0,1
2,2013,52,257,1,1
2,2014,1,319,1,1
2,2014,2,268,0,1
2,2014,3,246,0,1
2,2014,4,234,1,1
2,2014,5,258,0,1
2,2014,6,264,0,1
2,2014,7,281,1,1
2,2014,8,277,1,1
2,2014,9,324,0,1
2,2014,10,317,0,1
2,2014,11,325,0,1
2,2014,12,303,0,1
2,2014,13,313,0,1
2,2014,14,376,0,1
2,2014,15,410,0,1
2,2014,16,382,1,1
2,2014,17,397,0,1
2,2014,18,390,0,1
2,2014,19,434,0,1
2,2014,20,406,0,1
2,2014,21,431,0,1
2,2014,22,408,1,1
2,2014,23,433,0,1
2,2014,24,425,0,1
2,2014,25,410,1,1
2,2014,26,454,0,1
2,2014,27,430,1,1
2,2014,28,440,0,1
2,2014,29,457,0,1
2,2014,30,511,0,1
2,2014,31,475,0,1
2,2014,32,385,0,1
2,2014,33,378,0,1
2,2014,34,424,0,1
2,2014,35,413,1,1
2,2014,36,362,1,1
2,2014,37,352,0,1
2,2014,38,362,0,1
2,2014,39,365,0,1
2,2014,40,365,0,1
2,2014,41,337,0,1
2,2014,42,294,1,1
2,2014,43,376,0,1
2,2014,44,345,0,1
2,2014,45,381,0,1
2,2014,46,376,1,1
2,2014,47,380,0,1
2,2014,48,345,1,1
2,2014,49,300,0,1
2,2014,50,261,0,1
2,2014,51,257,0,1
2,2014,52,278,1,1
2,2015,1,171,1,1
2,2015,2,234,0,1
2,2015,3,226,0,1
2,2015,4,276,1,1
2,2015,5,262,0,1
2,2015,6,269,0,1
2,2015,7,305,1,1
2,2015,8,288,1,1
2,2015,9,297,0,1
2,2015,10,355,0,1
2,2015,11,367,0,1
2,2015,12,326,0,1
2,2015,13,356,0,1
2,2015,14,373,1,1
2,2015,15,403,1,1
2,2015,16,375,0,1
2,2015,17,410,0,1
2,2015,18,438,0,1
2,2015,19,429,0,1
2,2015,20,430,0,1
2,2015,21,430,0,1
2,2015,22,428,1,1
2,2015,23,449,0,1
2,2015,24,407,0,1
2,2015,25,430,1,1
2,2015,26,404,0,1
2,2015,27,487,1,1
2,2015,28,422,0,1
2,2015,29,464,0,1
2,2015,30,407,0,1
2,2015,31,471,0,1
2,2015,32,422,0,1
2,2015,33,426,0,1
2,2015,34,438,0,1
2,2015,35,436,0,1
2,2015,36,395,1,1
2,2015,37,381,1,1
2,2015,38,354,0,1
2,2015,39,381,0,1
2,2015,40,391,0,1
2,2015,41,357,0,1
2,2015,42,378,1,1
2,2015,43,376,0,1
2,2015,44,349,0,1
2,2015,45,407,0,1
2,2015,46,374,1,1
2,2015,47,399,0,1
2,2015,48,393,1,1
2,2015,49,302,0,1
2,2015,50,269,0,1
2,2015,51,269,0,1
2,2015,52,278,1,1
2,2015,53,148,1,1
2,2016,1,269,0,1
2,2016,2,303,0,1
2,2016,3,286,1,1
2,2016,4,268,0,1
2,2016,5,336,0,1
2,2016,6,302,1,1
2,2016,7,311,1,1
2,2016,8,286,0,1
2,2016,9,393,0,1
2,2016,10,339,0,1
2,2016,11,365,0,1
2,2016,12,374,1,1
2,2016,13,408,0,1
2,2016,14,434,0,1
2,2016,15,404,0,1
2,2016,16,404,0,1
2,2016,17,420,1,1
2,2016,18,459,0,1
2,2016,19,446,0,1
2,2016,20,450,0,1
2,2016,21,451,0,1
2,2016,22,484,1,1
2,2016,23,450,0,1
2,2016,24,502,1,1
2,2016,25,483,0,1
2,2016,26,523,0,1
2,2016,27,547,1,1
2,2016,28,530,0,1
2,2016,29,504,0,1
2,2016,30,536,0,1
2,2016,31,437,0,1
2,2016,32,473,0,1
2,2016,33,445,0,1
2,2016,34,488,0,1
2,2016,35,461,1,1
2,2016,36,389,1,1
2,2016,37,400,0,1
2,2016,38,451,0,1
2,2016,39,412,0,1
2,2016,40,399,0,1
2,2016,41,431,1,1
2,2016,42,407,0,1
2,2016,43,392,0,1
2,2016,44,418,0,1
2,2016,45,450,1,1
2,2016,46,421,0,1
2,2016,47,393,1,1
2,2016,48,329,0,1
2,2016,49,289,0,1
2,2016,50,311,0,1
2,2016,51,311,1,1
2,2016,52,249,1,1
2,2016,53,122,1,1
2,2017,1,286,0,1
2,2017,2,258,0,1
2,2017,3,289,1,1
2,2017,4,264,0,1
2,2017,5,271,0,1
2,2017,6,284,0,1
2,2017,7,336,1,1
2,2017,8,289,1,1
2,2017,9,357,0,1
2,2017,10,357,0,1
2,2017,11,391,0,1
2,2017,12,337,0,1
2,2017,13,358,0,1
2,2017,14,459,0,1
2,2017,15,467,1,1
2,2017,16,441,0,1
2,2017,17,457,0,1
2,2017,18,462,0,1
2,2017,19,527,0,1
2,2017,20,511,0,1
2,2017,21,445,0,1
2,2017,22,533,1,1
2,2017,23,503,0,1
2,2017,24,520,0,1
2,2017,25,504,1,1
2,2017,26,491,0,1
2,2017,27,523,1,1
2,2017,28,538,0,1
2,2017,29,561,0,1
2,2017,30,508,0,1
2,2017,31,479,0,1
2,2017,32,484,0,1
2,2017,33,459,0,1
2,2017,34,497,0,1
2,2017,35,461,1,1
2,2017,36,433,1,1
2,2017,37,423,0,1
2,2017,38,468,0,1
2,2017,39,427,0,1
2,2017,40,400,0,1
2,2017,41,382,1,1
2,2017,42,388,0,1
2,2017,43,415,0,1
2,2017,44,450,0,1
2,2017,45,460,1,1
2,2017,46,452,0,1
2,2017,47,442,1,1
2,2017,48,440,0,1
2,2017,49,319,0,1
2,2017,50,327,0,1
2,2017,51,292,1,1
2,2017,52,398,1,1
3,2013,1,147,1,1
3,2013,2,116,0,1
3,2013,3,122,0,1
3,2013,4,127,1,1
3,2013,5,150,0,1
3,2013,6,150,0,1
3,2013,7,136,1,1
3,2013,8,149,1,1
3,2013,9,169,0,1
3,2013,10,168,0,1
3,2013,11,168,0,1
3,2013,12,188,0,1
3,2013,13,175,1,1
3,2013,14,211,0,1
3,2013,15,201,0,1
3,2013,16,187,0,1
3,2013,17,210,0,1
3,2013,18,222,1,1
3,2013,19,206,0,1
3,2013,20,222,0,1
3,2013,21,225,0,1
3,2013,22,230,1,1
3,2013,23,232,0,1
3,2013,24,234,0,1
3,2013,25,220,1,1
3,2013,26,242,0,1
3,2013,27,240,1,1
3,2013,28,250,0,1
3,2013,29,252,0,1
3,2013,30,267,0,1
3,2013,31,219,0,1
3,2013,32,234,0,1
3,2013,33,219,0,1
3,2013,34,237,0,1
3,2013,35,225,1,1
3,2013,36,216,1,1
3,2013,37,202,0,1
3,2013,38,206,0,1
3,2013,39,204,0,1
3,2013,40,192,0,1
3,2013,41,155,0,1
3,2013,42,179,1,1
3,2013,43,181,0,1
3,2013,44,185,0,1
3,2013,45,207,0,1
3,2013,46,193,1,1
3,2013,47,213,0,1
3,2013,48,212,1,1
3,2013,49,145,0,1
3,2013,50,167,0,1
3,2013,51,155,0,1
3,2013,52,138,1,1
3,2014,1,180,1,1
3,2014,2,157,0,1
3,2014,3,149,0,1
3,2014,4,145,1,1
3,2014,5,150,0,1
3,2014,6,188,0,1
3,2014,7,172,1,1
3,2014,8,158,1,1
3,2014,9,166,0,1
3,2014,10,185,0,1
3,2014,11,195,0,1
3,2014,12,190,0,1
3,2014,13,225,0,1
3,2014,14,231,0,1
3,2014,15,217,0,1
3,2014,16,234,1,1
3,2014,17,223,0,1
3,2014,18,253,0,1
3,2014,19,248,0,1
3,2014,20,275,0,1
3,2014,21,277,0,1
3,2014,22,253,1,1
3,2014,23,256,0,1
3,2014,24,282,0,1
3,2014,25,253,1,1
3,2014,26,271,0,1
3,2014,27,258,1,1
3,2014,28,264,0,1
3,2014,29,309,0,1
3,2014,30,261,0,1
3,2014,31,256,0,1
3,2014,32,278,0,1
3,2014,33,259,0,1
3,2014,34,234,0,1
3,2014,35,223,1,1
3,2014,36,213,1,1
3,2014,37,240,0,1
3,2014,38,243,0,1
3,2014,39,217,0,1
3,2014,40,225,0,1
3,2014,41,237,0,1
3,2014,42,205,1,1
3,2014,43,222,0,1
3,2014,44,233,0,1
3,2014,45,212,0,1
3,2014,46,262,1,1
3,2014,47,248,0,1
3,2014,48,215,1,1
3,2014,49,179,0,1
3,2014,50,160,0,1
3,2014,51,156,0,1
3,2014,52,162,1,1
3,2015,1,99,1,1
3,2015,2,156,0,1
3,2015,3,188,0,1
3,2015,4,153,1,1
3,2015,5,155,0,1
3,2015,6,168,0,1
3,2015,7,163,1,1
3,2015,8,170,1,1
3,2015,9,163,0,1
3,2015,10,192,0,1
3,2015,11,222,0,1
3,2015,12,216,0,1
3,2015,13,198,0,1
3,2015,14,236,1,1
3,2015,15,264,1,1
3,2015,16,233,0,1
3,2015,17,253,0,1
3,2015,18,285,0,1
3,2015,19,257,0,1
3,2015,20,272,0,1
3,2015,21,261,0,1
3,2015,22,287,1,1
3,2015,23,285,0,1
3,2015,24,301,0,1
3,2015,25,295,1,1
3,2015,26,288,0,1
3,2015,27,256,1,1
3,2015,28,302,0,1
3,2015,29,302,0,1
3,2015,30,323,0,1
3,2015,31,264,0,1
3,2015,32,256,0,1
3,2015,33,267,0,1
3,2015,34,259,0,1
3,2015,35,280,0,1
3,2015,36,242,1,1
3,2015,37,295,1,1
3,2015,38,237,0,1
3,2015,39,279,0,1
3,2015,40,227,0,1
3,2015,41,234,0,1
3,2015,42,220,1,1
3,2015,43,242,0,1
3,2015,44,263,0,1
3,2015,45,235,0,1
3,2015,46,251,1,1
3,2015,47,251,0,1
3,2015,48,244,1,1
3,2015,49,177,0,1
3,2015,50,191,0,1
3,2015,51,177,0,1
3,2015,52,163,1,1
3,2015,53,74,1,1
3,2016,1,191,0,1
3,2016,2,185,0,1
3,2016,3,177,1,1
3,2016,4,166,0,1
3,2016,5,194,0,1
3,2016,6,204,1,1
3,2016,7,186,1,1
3,2016,8,187,0,1
3,2016,9,228,0,1
3,2016,10,242,0,1
3,2016,11,214,0,1
3,2016,12,230,1,1
3,2016,13,218,0,1
3,2016,14,296,0,1
3,2016,15,249,0,1
3,2016,16,257,0,1
3,2016,17,253,1,1
3,2016,18,314,0,1
3,2016,19,275,0,1
3,2016,20,297,0,1
3,2016,21,283,0,1
3,2016,22,308,1,1
3,2016,23,275,0,1
3,2016,24,313,1,1
3,2016,25,297,0,1
3,2016,26,298,0,1
3,2016,27,309,1,1
3,2016,28,335,0,1
3,2016,29,348,0,1
3,2016,30,311,0,1
3,2016,31,243,0,1
3,2016,32,295,0,1
3,2016,33,265,0,1
3,2016,34,285,0,1
3,2016,35,276,1,1
3,2016,36,267,1,1
3,2016,37,284,0,1
3,2016,38,267,0,1
3,2016,39,264,0,1
3,2016,40,231,0,1
3,2016,41,252,1,1
3,2016,42,235,0,1
3,2016,43,240,0,1
3,2016,44,266,0,1
3,2016,45,264,1,1
3,2016,46,265,0,1
3,2016,47,278,1,1
3,2016,48,202,0,1
3,2016,49,206,0,1
3,2016,50,165,0,1
3,2016,51,196,1,1
3,2016,52,155,1,1
3,2016,53,76,1,1
3,2017,1,172,0,1
3,2017,2,175,0,1
3,2017,3,187,1,1
3,2017,4,163,0,1
3,2017,5,188,0,1
3,2017,6,191,0,1
3,2017,7,204,1,1
3,2017,8,193,1,1
3,2017,9,235,0,1
3,2017,10,216,0,1
3,2017,11,244,0,1
3,2017,12,231,0,1
3,2017,13,236,0,1
3,2017,14,266,0,1
3,2017,15,288,1,1
3,2017,16,270,0,1
3,2017,17,300,0,1
3,2017,18,323,0,1
3,2017,19,290,0,1
3,2017,20,301,0,1
3,2017,21,337,0,1
3,2017,22,338,1,1
3,2017,23,323,0,1
3,2017,24,349,0,1
3,2017,25,300,1,1
3,2017,26,281,0,1
3,2017,27,332,1,1
3,2017,28,359,0,1
3,2017,29,340,0,1
3,2017,30,334,0,1
3,2017,31,291,0,1
3,2017,32,283,0,1
3,2017,33,277,0,1
3,2017,34,337,0,1
3,2017,35,256,1,1
3,2017,36,296,1,1
3,2017,37,269,0,1
3,2017,38,281,0,1
3,2017,39,263,0,1
3,2017,40,249,0,1
3,2017,41,245,1,1
3,2017,42,263,0,1
3,2017,43,252,0,1
3,2017,44,279,0,1
3,2017,45,263,1,1
3,2017,46,260,0,1
3,2017,47,275,1,1
3,2017,48,227,0,1
3,2017,49,209,0,1
3,2017,50,207,0,1
3,2017,51,177,1,1
3,2017,52,221,1,1
4,2013,1,98,1,1
4,2013,2,79,0,1
4,2013,3,73,0,1
4,2013,4,71,1,1
4,2013,5,84,0,1
4,2013,6,91,0,1
4,2013,7,86,1,1
4,2013,8,71,1,1
4,2013,9,108,0,1
4,2013,10,109,0,1
4,2013,11,89,0,1
4,2013,12,101,0,1
4,2013,13,115,1,1
4,2013,14,112,0,1
4,2013,15,120,0,1
4,2013,16,135,0,1
4,2013,17,122,0,1
4,2013,18,136,1,1
4,2013,19,137,0,1
4,2013,20,155,0,1
4,2013,21,134,0,1
4,2013,22,145,1,1
4,2013,23,136,0,1
4,2013,24,136,0,1
4,2013,25,132,1,1
4,2013,26,145,0,1
4,2013,27,144,1,1
4,2013,28,145,0,1
4,2013,29,151,0,1
4,2013,30,143,0,1
4,2013,31,116,0,1
4,2013,32,140,0,1
4,2013,33,128,0,1
4,2013,34,131,0,1
4,2013,35,130,1,1
4,2013,36,138,1,1
4,2013,37,132,0,1
4,2013,38,133,0,1
4,2013,39,111,0,1
4,2013,40,115,0,1
4,2013,41,101,0,1
4,2013,42,106,1,1
4,2013,43,123,0,1
4,2013,44,111,0,1
4,2013,45,115,0,1
4,2013,46,123,1,1
4,2013,47,120,0,1
4,2013,48,115,1,1
4,2013,49,93,0,1
4,2013,50,80,0,1
4,2013,51,79,0,1
4,2013,52,102,1,1
4,2014,1,87,1,1
4,2014,2,96,0,1
4,2014,3,82,0,1
4,2014,4,82,1,1
4,2014,5,91,0,1
4,2014,6,105,0,1
4,2014,7,107,1,1
4,2014,8,112,1,1
4,2014,9,93,0,1
4,2014,10,106,0,1
4,2014,11,122,0,1
4,2014,12,120,0,1
4,2014,13,128,0,1
4,2014,14,160,0,1
4,2014,15,148,0,1
4,2014,16,137,1,1
4,2014,17,138,0,1
4,2014,18,153,0,1
4,2014,19,135,0,1
4,2014,20,147,0,1
4,2014,21,136,0,1
4,2014,22,154,1,1
4,2014,23,156,0,1
4,2014,24,173,0,1
4,2014,25,157,1,1
4,2014,26,164,0,1
4,2014,27,171,1,1
4,2014,28,181,0,1
4,2014,29,187,0,1
4,2014,30,191,0,1
4,2014,31,156,0,1
4,2014,32,167,0,1
4,2014,33,162,0,1
4,2014,34,160,0,1
4,2014,35,139,1,1
4,2014,36,149,1,1
4,2014,37,149,0,1
4,2014,38,140,0,1
4,2014,39,131,0,1
4,2014,40,118,0,1
4,2014,41,125,0,1
4,2014,42,136,1,1
4,2014,43,108,0,1
4,2014,44,128,0,1
4,2014,45,149,0,1
4,2014,46,174,1,1
4,2014,47,140,0,1
4,2014,48,139,1,1
4,2014,49,113,0,1
4,2014,50,115,0,1
4,2014,51,100,0,1
4,2014,52,113,1,1
4,2015,1,77,1,1
4,2015,2,115,0,1
4,2015,3,97,0,1
4,2015,4,84,1,1
4,2015,5,96,0,1
4,2015,6,102,0,1
4,2015,7,100,1,1
4,2015,8,102,1,1
4,2015,9,111,0,1
4,2015,10,125,0,1
4,2015,11,119,0,1
4,2015,12,121,0,1
4,2015,13,120,0,1
4,2015,14,165,1,1
4,2015,15,153,1,1
4,2015,16,148,0,1
4,2015,17,158,0,1
4,2015,18,157,0,1
4,2015,19,156,0,1
4,2015,20,164,0,1
4,2015,21,173,0,1
4,2015,22,168,1,1
4,2015,23,180,0,1
4,2015,24,157,0,1
4,2015,25,157,1,1
4,2015,26,155,0,1
4,2015,27,190,1,1
4,2015,28,161,0,1
4,2015,29,174,0,1
4,2015,30,165,0,1
4,2015,31,175,0,1
4,2015,32,146,0,1
4,2015,33,166,0,1
4,2015,34,173,0,1
4,2015,35,141,0,1
4,2015,36,147,1,1
4,2015,37,158,1,1
4,2015,38,167,0,1
4,2015,39,137,0,1
4,2015,40,157,0,1
4,2015,41,121,0,1
4,2015,42,122,1,1
4,2015,43,164,0,1
4,2015,44,124,0,1
4,2015,45,138,0,1
4,2015,46,143,1,1
4,2015,47,118,0,1
4,2015,48,163,1,1
4,2015,49,124,0,1
4,2015,50,97,0,1
4,2015,51,104,0,1
4,2015,52,99,1,1
4,2015,53,57,1,1
4,2016,1,98,0,1
4,2016,2,90,0,1
4,2016,3,103,1,1
4,2016,4,105,0,1
4,2016,5,112,0,1
4,2016,6,127,1,1
4,2016,7,123,1,1
4,2016,8,118,0,1
4,2016,9,126,0,1
4,2016,10,138,0,1
4,2016,11,142,0,1
4,2016,12,132,1,1
4,2016,13,141,0,1
4,2016,14,164,0,1
4,2016,15,165,0,1
4,2016,16,166,0,1
4,2016,17,159,1,1
4,2016,18,180,0,1
4,2016,19,198,0,1
4,2016,20,158,0,1
4,2016,21,172,0,1
4,2016,22,188,1,1
4,2016,23,196,0,1
4,2016,24,178,1,1
4,2016,25,201,0,1
4,2016,26,172,0,1
4,2016,27,201,1,1
4,2016,28,184,0,1
4,2016,29,209,0,1
4,2016,30,186,0,1
4,2016,31,190,0,1
4,2016,32,141,0,1
4,2016,33,171,0,1
4,2016,34,172,0,1
4,2016,35,158,1,1
4,2016,36,149,1,1
4,2016,37,171,0,1
4,2016,38,166,0,1
4,2016,39,154,0,1
4,2016,40,153,0,1
4,2016,41,166,1,1
4,2016,42,162,0,1
4,2016,43,148,0,1
4,2016,44,137,0,1
4,2016,45,161,1,1
4,2016,46,149,0,1
4,2016,47,141,1,1
4,2016,48,159,0,1
4,2016,49,122,0,1
4,2016,50,120,0,1
4,2016,51,124,1,1
4,2016,52,99,1,1
4,2016,53,51,1,1
4,2017,1,98,0,1
4,2017,2,105,0,1
4,2017,3,120,1,1
4,2017,4,117,0,1
4,2017,5,116,0,1
4,2017,6,117,0,1
4,2017,7,123,1,1
4,2017,8,101,1,1
4,2017,9,132,0,1
4,2017,10,136,0,1
4,2017,11,144,0,1
4,2017,12,152,0,1
4,2017,13,157,0,1
4,2017,14,150,0,1
4,2017,15,160,1,1
4,2017,16,187,0,1
4,2017,17,162,0,1
4,2017,18,164,0,1
4,2017,19,156,0,1
4,2017,20,176,0,1
4,2017,21,181,0,1
4,2017,22,176,1,1
4,2017,23,196,0,1
4,2017,24,179,0,1
4,2017,25,200,1,1
4,2017,26,204,0,1
4,2017,27,213,1,1
4,2017,28,196,0,1
4,2017,29,197,0,1
4,2017,30,208,0,1
4,2017,31,161,0,1
4,2017,32,190,0,1
4,2017,33,178,0,1
4,2017,34,186,0,1
4,2017,35,154,1,1
4,2017,36,156,1,1
4,2017,37,144,0,1
4,2017,38,164,0,1
4,2017,39,145,0,1
4,2017,40,150,0,1
4,2017,41,171,1,1
4,2017,42,144,0,1
4,2017,43,166,0,1
4,2017,44,130,0,1
4,2017,45,177,1,1
4,2017,46,166,0,1
4,2017,47,177,1,1
4,2017,48,132,0,1
4,2017,49,108,0,1
4,2017,50,104,0,1
4,2017,51,110,1,1
4,2017,52,142,1,1
5,2013,1,70,1,1
5,2013,2,65,0,1
5,2013,3,55,0,1
5,2013,4,61,1,1
5,2013,5,75,0,1
5,2013,6,65,0,1
5,2013,7,76,1,1
5,2013,8,70,1,1
5,2013,9,68,0,1
5,2013,10,74,0,1
5,2013,11,91,0,1
5,2013,12,81,0,1
5,2013,13,94,1,1
5,2013,14,99,0,1
5,2013,15,97,0,1
5,2013,16,102,0,1
5,2013,17,95,0,1
5,2013,18,102,1,1
5,2013,19,111,0,1
5,2013,20,116,0,1
5,2013,21,123,0,1
5,2013,22,105,1,1
5,2013,23,114,0,1
5,2013,24,108,0,1
